tier_1,tier_2,tier_3,label_slug,label_slugs_orig,lnf_codes,lnf_descriptions
Vegetation,AnnualCrop,SummerBarley,Vegetation_AnnualCrop_SummerBarley,['Vegetation_Field crops_SmallGrainCereal_SummerBarley'],[501],['Sommergerste']
Vegetation,PerennialCrop,WinterBarley,Vegetation_PerennialCrop_WinterBarley,['Vegetation_Field crops_SmallGrainCereal_WinterBarley'],[502],['Wintergerste']
Vegetation,PerennialCrop,Oats,Vegetation_PerennialCrop_Oats,['Vegetation_Field crops_SmallGrainCereal_Oat'],[504],['Hafer']
Vegetation,PerennialCrop,Triticale,Vegetation_PerennialCrop_Triticale,['Vegetation_Field crops_SmallGrainCereal_Wheat'],[505],['Triticale']
Vegetation,PerennialCrop,CerealMix,Vegetation_PerennialCrop_CerealMix,['Vegetation_Field crops_SmallGrainCereal_Grain'],[506],['Mischel Futtergetreide']
Vegetation,PerennialCrop,FodderCereals,Vegetation_PerennialCrop_FodderCereals,['Vegetation_Field crops_SmallGrainCereal_Wheat'],[507],['Futterweizen gemäss Sortenliste swiss granum']
Vegetation,AnnualCrop,Maize,Vegetation_AnnualCrop_Maize,['Vegetation_Field crops_LargeGrainCereal_Maize'],[508],['Körnermais']
Vegetation,AnnualCrop,Rice,Vegetation_AnnualCrop_Rice,[nan],[509],['Reis']
Vegetation,AnnualCrop,HardWheat,Vegetation_AnnualCrop_HardWheat,[nan],[510],['Hartweizen']
Vegetation,AnnualCrop,EinkornWheat,Vegetation_AnnualCrop_EinkornWheat,['Vegetation_Field crops_SmallGrainCereal_EinkornWheat'],[511],"['Emmer, Einkorn']"
Vegetation,AnnualCrop,SummerWheat,Vegetation_AnnualCrop_SummerWheat,['Vegetation_Field crops_SmallGrainCereal_SummerWheat'],[512],['Sommerweizen (ohne Futterweizen der Sortenliste swiss granum)']
Vegetation,PerennialCrop,WinterWheat,Vegetation_PerennialCrop_WinterWheat,['Vegetation_Field crops_SmallGrainCereal_WinterWheat'],[513],['Winterweizen (ohne Futterweizen der Sortenliste swiss granum)']
Vegetation,PerennialCrop,Rye,Vegetation_PerennialCrop_Rye,['Vegetation_Field crops_SmallGrainCereal_Rye'],[514],['Roggen']
Vegetation,PerennialCrop,Spelt,Vegetation_PerennialCrop_Spelt,['Vegetation_Field crops_SmallGrainCereal_Spelt'],[516],['Dinkel']
Vegetation,AnnualCrop,DryRice,Vegetation_AnnualCrop_DryRice,[nan],[520],['Trockenreis']
