tier_1,tier_2,tier_3,label_slug,lnf_codes,lnf_descriptions,label_slugs_orig
Vegetation,AnnualCrop,BroadBeans,Vegetation_AnnualCrop_BroadBeans,[536],['Bohnen und Wicken zur Körnergewinnung (z.B. Ackerbohnen) '],[nan]
Vegetation,AnnualCrop,EinkornWheat,Vegetation_AnnualCrop_EinkornWheat,[511],"['Emmer, Einkorn']",[nan]
Vegetation,AnnualCrop,Maize,Vegetation_AnnualCrop_Maize,"[508, 519, 521]","['Körnermais', 'Saatmais (Vertragsanbau)', 'Silo- und Grünmais']","['Vegetation_Field crops_LargeGrainCereal_Maize', nan, nan]"
Vegetation,AnnualCrop,Potatoes,Vegetation_AnnualCrop_Potatoes,"[524, 525]","['Kartoffeln', 'Pflanzkartoffeln (Vertragsanbau)']","['Vegetation_Field crops_BroadLeafRowCrop_Potatoes', nan]"
Vegetation,AnnualCrop,ProteinPeas,Vegetation_AnnualCrop_ProteinPeas,[537],['Erbsen zur Körnergewinnung (z.B. Eiweisserbsen)'],[nan]
Vegetation,AnnualCrop,Soybeans,Vegetation_AnnualCrop_Soybeans,[528],['Soja'],['Vegetation_Field crops_BroadLeafRowCrop_Soy']
Vegetation,AnnualCrop,SpecialCultureAnnual,Vegetation_AnnualCrop_SpecialCultureAnnual,"[534, 539, 546, 547, 551, 552, 553, 554, 631, 709, 711, 951]","['Lein', 'Ölkürbisse', 'Freiland-Konservengemüse', 'Wurzeln der Treibzichorie', 'Einjährige Beeren (z.B. Erdbeeren)', 'Einjährige nachwachsende Rohstoffe (Kenaf, usw.)', 'Einjährige Gewürz- und Medizinalpflanzen', 'Einjährige gärtnerische Freilandkulturen (Blumen, Rollrasen usw.)', 'Futterleguminosen für die Samenproduktion (Vertragsanbau)', 'Rhabarber', 'Pilze (Freiland)', 'Getreide in weiter Reihen']","['Vegetation_Field crops_BroadLeafRowCrop_Linen', nan, 'Vegetation_Field crops_VegetableCrop_Vegetables', nan, 'Vegetation_Orchards_OrchardCrop_Berries', nan, nan, nan, nan, nan, nan, nan]"
Vegetation,AnnualCrop,SummerWheat,Vegetation_AnnualCrop_SummerWheat,[512],['Sommerweizen (ohne Futterweizen der Sortenliste swiss granum)'],[nan]
Vegetation,AnnualCrop,Sunflowers,Vegetation_AnnualCrop_Sunflowers,"[531, 592]","['Sonnenblumen zur Speiseölgewinnung', 'Sonnenblumen als nachwachsender Rohstoff']","[nan, nan]"
Vegetation,AnnualCrop,Vegetables,Vegetation_AnnualCrop_Vegetables,[545],"['Einjährige Freilandgemüse, ohne Konservengemüse']",['Vegetation_Field crops_VegetableCrop_Vegetables']
Vegetation,PerennialCrop,FodderCereals,Vegetation_PerennialCrop_FodderCereals,[507],['Futterweizen gemäss Sortenliste swiss granum'],['Vegetation_Field crops_SmallGrainCereal_Wheat']
Vegetation,PerennialCrop,Oats,Vegetation_PerennialCrop_Oats,[504],['Hafer'],['Vegetation_Field crops_SmallGrainCereal_Oat']
Vegetation,PerennialCrop,Rye,Vegetation_PerennialCrop_Rye,[514],['Roggen'],['Vegetation_Field crops_SmallGrainCereal_Rye']
Vegetation,PerennialCrop,SpecialCulturePerennial,Vegetation_PerennialCrop_SpecialCulturePerennial,"[705, 706, 707, 710]","['Mehrjährige Beeren', 'Mehrjährige Gewürz- und Medizinalpflanzen', 'Mehrjährige nachwachsende Rohstoffe (Chinaschilf, usw.)', 'Spargel']","[nan, nan, nan, nan]"
Vegetation,PerennialCrop,Spelt,Vegetation_PerennialCrop_Spelt,[516],['Dinkel'],['Vegetation_Field crops_SmallGrainCereal_Spelt']
Vegetation,PerennialCrop,SugarBeet,Vegetation_PerennialCrop_SugarBeet,"[522, 523]","['Zuckerrüben', 'Futterrüben']","[nan, 'Vegetation_Field crops_BroadLeafRowCrop_Beets']"
