lnf_code,3rd_tier_new,4th_tier_old,label_slug_new,label_slug_orig,pixel_count
501,SummerBarley,Barley,Vegetation_AnnualCrop_SummerBarley,Vegetation_Field crops_SmallGrainCereal_SummerBarley,4210
502,WinterBarley,Barley,Vegetation_PerennialCrop_WinterBarley,Vegetation_Field crops_SmallGrainCereal_WinterBarley,292885
508,Maize,Maize,Vegetation_AnnualCrop_Maize,Vegetation_Field crops_LargeGrainCereal_Maize,809566
512,SummerWheat,,Vegetation_AnnualCrop_SummerWheat,Vegetation_Field crops_SmallGrainCereal_SummerWheat,11065
513,WinterWheat,Wheat,Vegetation_PerennialCrop_WinterWheat,Vegetation_Field crops_SmallGrainCereal_WinterWheat,837126
519,Maize,,Vegetation_AnnualCrop_Maize,Vegetation_Field crops_LargeGrainCereal_Maize,809566
521,Maize,,Vegetation_AnnualCrop_Maize,Vegetation_Field crops_LargeGrainCereal_Maize,809566
522,SugarBeet,,Vegetation_PerennialCrop_SugarBeet,Vegetation_Field crops_BroadLeafRowCrop_Sugar_beets,295998
523,SugarBeet,Beets,Vegetation_PerennialCrop_SugarBeet,Vegetation_Field crops_BroadLeafRowCrop_Beets,644
524,Potatoes,Potatoes,Vegetation_AnnualCrop_Potatoes,Vegetation_Field crops_BroadLeafRowCrop_Potatoes,110835
525,Potatoes,,Vegetation_AnnualCrop_Potatoes,Vegetation_Field crops_BroadLeafRowCrop_Potatoes,110835
526,SummerRapeseed,,Vegetation_AnnualCrop_SummerRapeseed,Vegetation_Field crops_BroadLeafRowCrop_SummerRapeseed,1571
527,WinterRapeseed,,Vegetation_PerennialCrop_WinterRapeseed,Vegetation_Field crops_BroadLeafRowCrop_WinterRapeseed,219773
528,Soybeans,Soy,Vegetation_AnnualCrop_Soybeans,Vegetation_Field crops_BroadLeafRowCrop_Soy,25544
531,Sunflowers,,Vegetation_AnnualCrop_Sunflowers,Vegetation_Field crops_BroadLeafRowCrop_Sunflowers,70232
534,SpecialCultureAnnual,Linen,Vegetation_AnnualCrop_SpecialCultureAnnual,Vegetation_Field crops_BroadLeafRowCrop_Linen,3126
535,Hemp,Hemp,Vegetation_AnnualCrop_Hemp,Vegetation_Field crops_BroadLeafRowCrop_Hemp,1704
537,Peas,,Vegetation_AnnualCrop_Peas,Vegetation_Field crops_BroadLeafRowCrop_Peas,22732
538,Lupine,,Vegetation_AnnualCrop_Lupine,Vegetation_Field crops_BroadLeafRowCrop_Lupine,308
539,SpecialCultureAnnual,,Vegetation_AnnualCrop_SpecialCultureAnnual,Vegetation_Field crops_VegetableCrop_Pumpkin,1941
545,Vegetables,Vegetables,Vegetation_AnnualCrop_Vegetables,Vegetation_Field crops_VegetableCrop_Vegetables,188621
548,Buckwheat,,Vegetation_AnnualCrop_Buckwheat,Vegetation_Field crops_SmallGrainCereal_Buckwheat,1708
551,SpecialCultureAnnual,Berries,Vegetation_AnnualCrop_SpecialCultureAnnual,Vegetation_Special crops_Berries_Berries,13969
555,Grassland,Biodiversity encouragement area,Vegetation_Permaculture_Grassland,Vegetation_Grassland_BiodiversityArea_Biodiversity encouragement area,3494
556,Grassland,Fallow,Vegetation_Permaculture_Grassland,Vegetation_Special crops_Fallow_Fallow,27371
